,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,temp,s,loss
0,_01ea0w7h0,euclidean,misaligned,,,0.06309573444801933,,,100,0.9,30,54.969482926019694
0,_01ea0w7h0,classifier,misaligned,,,0.03162277660168379,,,100,0.4,30,148.0740633848856
0,_01ea0w7h0,cycle_and_distribution,misaligned,,,0.003981071705534973,1.9294055873887768,0.00934737250209608,100,1.0,30,53.242963104417505
0,_01fsc47i0,euclidean,aligned,,,0.0019952623149688807,,,100,1.4000000000000001,30,53.73997710286854
0,_01fsc47i0,classifier,aligned,,,0.06309573444801933,,,100,1.0,30,51.119958414613045
0,_01fsc47i0,cycle_and_distribution,aligned,,,0.251188643150958,1.7370661656756585,0.0013235436827362043,100,0.8,30,50.328059078605015
0,_01w24b9fc,euclidean,misaligned,,,0.01584893192461114,,,100,1.0,30,53.99235217510601
0,_01w24b9fc,classifier,misaligned,,,0.003981071705534973,,,100,1.3,30,50.80753280244386
0,_01w24b9fc,cycle_and_distribution,misaligned,,,0.06309573444801933,1.6358743662294382,0.009129501262106206,100,0.30000000000000004,30,54.61473142298908
0,_07rbbi7ue,euclidean,aligned,,,0.003981071705534973,,,100,0.8,30,53.620483200155455
0,_07rbbi7ue,classifier,aligned,,,0.007943282347242814,,,100,0.30000000000000004,30,69.80627960558648
0,_07rbbi7ue,cycle_and_distribution,aligned,,,0.0019952623149688807,1.209868180042918,0.0016864127779686636,100,0.5,30,53.63610808241801
0,_09t09klrk,euclidean,aligned,,,0.12589254117941676,,,100,1.3,30,45.49554740734525
0,_09t09klrk,classifier,aligned,,,0.007943282347242814,,,100,0.5,30,63.035836180805255
0,_09t09klrk,cycle_and_distribution,aligned,,,0.0019952623149688807,0.9609323932271377,0.0077102164135276876,100,0.7000000000000001,30,53.06465578239501
0,_09z0x5u24,euclidean,misaligned,,,0.01584893192461114,,,100,1.2000000000000002,30,53.76353953831018
0,_09z0x5u24,classifier,misaligned,,,0.251188643150958,,,100,0.8,30,179.20628450150963
0,_09z0x5u24,cycle_and_distribution,misaligned,,,0.01584893192461114,0.6307587549005207,0.008977811679473702,100,1.1,30,53.40160679882286
0,_0dk4mgcpq,euclidean,misaligned,,,0.0019952623149688807,,,100,1.3,30,53.859415739970345
0,_0dk4mgcpq,classifier,misaligned,,,0.003981071705534973,,,100,0.30000000000000004,30,78.27817546345597
0,_0dk4mgcpq,cycle_and_distribution,misaligned,,,0.003981071705534973,0.8418079934223952,0.0015828678966628752,100,0.2,30,53.11542564225499
0,_0md6xzqzh,euclidean,aligned,,,0.001,,,100,0.7000000000000001,30,53.85714963997313
0,_0md6xzqzh,classifier,aligned,,,0.01584893192461114,,,100,1.4000000000000001,30,62.826305670471356
0,_0md6xzqzh,cycle_and_distribution,aligned,,,0.01584893192461114,0.8946776887815915,0.0038471349043072357,100,0.8,30,51.590057693627806
