,pid,model,align_condition,lr_sup,lr_unsup,lr,lam_a_cyc,lam_dist,hidden_size,alpha,temp,s,loss
0,_01ea0w7h0,cycle_and_distribution,misaligned,,,0.0630957344480193,1.883140278920095,0.0061792815786478,100,0.5127920296206819,0.9,30,51.7891414628614
1,_01ea0w7h0,euclidean,misaligned,,,0.0630957344480193,,,100,0.121327924765203,0.2,30,52.92767767020288
2,_01ea0w7h0,discrete,misaligned,,,0.001,,,100,0.5236546438610418,1.2000000000000002,30,53.840873010179735
3,_01fsc47i0,cycle_and_distribution,aligned,,,0.0630957344480193,1.582960507377646,0.0045061946298244,100,0.9104397445221728,0.3,30,15.350912405402449
4,_01fsc47i0,euclidean,aligned,,,0.251188643150958,,,100,0.8028377212224627,0.3,30,35.81241570278976
5,_01fsc47i0,discrete,aligned,,,0.0039810717055349,,,100,0.4369595916068287,1.3,30,53.15853267922821
6,_01w24b9fc,cycle_and_distribution,misaligned,,,0.251188643150958,1.8384646717482784,0.0079779251411506,100,0.7186236953289024,0.4,30,45.947707600219935
7,_01w24b9fc,euclidean,misaligned,,,0.0630957344480193,,,100,0.3989525223171958,0.2,30,51.97710842430172
8,_01w24b9fc,discrete,misaligned,,,0.0019952623149688,,,100,0.5647325872105264,1.1,30,52.83643915399988
9,_07rbbi7ue,cycle_and_distribution,aligned,,,0.251188643150958,0.9959747258312028,0.0064711989730147,100,0.736297747044445,0.3,30,26.162659318197885
10,_07rbbi7ue,euclidean,aligned,,,0.251188643150958,,,100,0.9643840803896622,0.3,30,34.55384990340971
11,_07rbbi7ue,discrete,aligned,,,0.0019952623149688,,,100,0.368877315306555,1.0,30,52.57169238660528
12,_09t09klrk,cycle_and_distribution,aligned,,,0.0158489319246111,1.0185976826946788,0.0059107778184317,100,0.9266371031373284,0.3,30,25.34076634866827
13,_09t09klrk,euclidean,aligned,,,0.251188643150958,,,100,0.996478815014054,0.5,30,34.35246511261323
14,_09t09klrk,discrete,aligned,,,0.0019952623149688,,,100,0.3487496996136711,1.5,30,51.486360002204606
15,_09z0x5u24,cycle_and_distribution,misaligned,,,0.0316227766016837,1.1237188262136557,0.0062871597418519,100,0.7838149246930726,0.9,30,52.34521133586357
16,_09z0x5u24,euclidean,misaligned,,,0.1258925411794167,,,100,0.1398779473206375,0.6000000000000001,30,53.504650208652045
17,_09z0x5u24,discrete,misaligned,,,0.001,,,100,0.6834260946102128,1.2000000000000002,30,52.20847004207639
18,_0dk4mgcpq,cycle_and_distribution,misaligned,,,0.1258925411794167,0.9358726914930864,0.0050532938294825,100,0.8077394337574257,0.6000000000000001,30,44.85026503280029
19,_0dk4mgcpq,euclidean,misaligned,,,0.1258925411794167,,,100,0.9698679123530104,1.0,30,50.7634212688791
20,_0dk4mgcpq,discrete,misaligned,,,0.0039810717055349,,,100,0.4624230080294872,1.3,30,52.57963100965127
21,_0md6xzqzh,cycle_and_distribution,aligned,,,0.0316227766016837,1.949739968554069,0.0081201465554224,100,0.8562628987946233,0.4,30,45.98450286403328
22,_0md6xzqzh,euclidean,aligned,,,0.0158489319246111,,,100,0.6471965138463778,0.2,30,45.30003438935949
23,_0md6xzqzh,discrete,aligned,,,0.0019952623149688,,,100,0.994138114597642,1.5,30,51.741180086160085
24,_0mt3yjfj6,cycle_and_distribution,aligned,,,0.0316227766016837,1.2837081075419714,0.0090678825614397,100,0.8843566588074325,0.2,30,22.80283314435421
25,_0mt3yjfj6,euclidean,aligned,,,0.251188643150958,,,100,0.9542724808782788,0.5,30,34.76679972215244
26,_0mt3yjfj6,discrete,aligned,,,0.0158489319246111,,,100,0.5240131197960267,1.4,30,50.64415648278595
27,_0tb1bkwz6,cycle_and_distribution,misaligned,,,0.0158489319246111,1.0366628532006392,0.0044801336698743,100,0.6167590362486194,0.5,30,47.98021827452627
28,_0tb1bkwz6,euclidean,misaligned,,,0.0079432823472428,,,100,0.6863316270999501,0.9,30,52.96497405959566
29,_0tb1bkwz6,discrete,misaligned,,,0.001,,,100,0.3241688703720262,0.7000000000000001,30,52.23643813594987
30,_17gbk18ur,cycle_and_distribution,aligned,,,0.0158489319246111,1.7362060874879497,0.0090560613236572,100,0.8890156584153468,0.2,30,20.90414672421064
31,_17gbk18ur,euclidean,aligned,,,0.1258925411794167,,,100,0.8984497405331052,0.2,30,35.311563951558874
32,_17gbk18ur,discrete,aligned,,,0.0019952623149688,,,100,0.7105244898200841,1.4,30,52.7811015460498
33,_1eekoy4jq,cycle_and_distribution,aligned,,,0.0158489319246111,0.7188024837627921,0.0075961836255424,100,0.83376255223171,0.4,30,39.60181299369502
34,_1eekoy4jq,euclidean,aligned,,,0.1258925411794167,,,100,0.8012274369045354,0.4,30,43.42105401117462
35,_1eekoy4jq,discrete,aligned,,,0.0019952623149688,,,100,0.1999807254345913,1.4,30,52.37052180117758
36,_1frhvclm6,cycle_and_distribution,misaligned,,,0.1258925411794167,1.1232570835530409,0.0088494602325962,100,0.3889284234058511,0.5,30,50.91724939747214
37,_1frhvclm6,euclidean,misaligned,,,0.001,,,100,0.8176203131900012,0.7000000000000001,30,52.42945699079506
38,_1frhvclm6,discrete,misaligned,,,0.001,,,100,0.8217389450252957,1.2000000000000002,30,50.96367741695187
39,_1h5jd03tm,cycle_and_distribution,misaligned,,,0.1258925411794167,1.969915525980672,0.0095435438083217,100,0.9429622587680204,0.4,30,31.951821242916093
40,_1h5jd03tm,euclidean,misaligned,,,0.0316227766016837,,,100,0.6668262483602114,0.4,30,49.50748002797097
41,_1h5jd03tm,discrete,misaligned,,,0.0019952623149688,,,100,0.2580002718429077,1.2000000000000002,30,52.94516165917163
42,_1mt78p9xr,cycle_and_distribution,misaligned,,,0.0079432823472428,1.4029934226408045,0.0061221589563082,100,0.6211587580414714,0.2,30,46.09455374087029
43,_1mt78p9xr,euclidean,misaligned,,,0.0158489319246111,,,100,0.5304023343594749,0.3,30,50.99514070228453
44,_1mt78p9xr,discrete,misaligned,,,0.0039810717055349,,,100,0.9216719711567696,1.2000000000000002,30,52.04585463711309
45,_1na33peeu,cycle_and_distribution,aligned,,,0.0630957344480193,0.8767624326836574,0.0091559033654763,100,0.6141066147878691,0.2,30,19.70260394380366
46,_1na33peeu,euclidean,aligned,,,0.0158489319246111,,,100,0.9187046072373828,0.3,30,38.45181486717956
47,_1na33peeu,discrete,aligned,,,0.001,,,100,0.4624956676080319,0.9,30,52.62507814884841
48,_1p01yqof0,cycle_and_distribution,misaligned,,,0.251188643150958,1.4308023559793073,0.0068749435005288,100,0.7180824330837956,0.6000000000000001,30,50.19325977931215
49,_1p01yqof0,euclidean,misaligned,,,0.0079432823472428,,,100,0.833917052552975,0.5,30,52.168617364559104
50,_1p01yqof0,discrete,misaligned,,,0.0039810717055349,,,100,0.5834252814686998,1.2000000000000002,30,52.08043346427186
51,_1q1i2m2l4,cycle_and_distribution,misaligned,,,0.251188643150958,0.6347650069241543,0.0034099065395325,100,0.5082847897587413,0.2,30,43.45471512072139
52,_1q1i2m2l4,euclidean,misaligned,,,0.1258925411794167,,,100,0.9962605313625542,0.8,30,49.20692440367421
53,_1q1i2m2l4,discrete,misaligned,,,0.0019952623149688,,,100,0.3874291759140584,1.2000000000000002,30,51.59941999039279
54,_1qz3bk8wt,cycle_and_distribution,aligned,,,0.0316227766016837,0.931532419014873,0.0072096754431164,100,0.8869778443756099,0.2,30,33.03541191848596
55,_1qz3bk8wt,euclidean,aligned,,,0.0158489319246111,,,100,0.802968327862703,0.4,30,40.68323406562247
56,_1qz3bk8wt,discrete,aligned,,,0.001,,,100,0.6896061768405274,1.2000000000000002,30,52.95444627332578
57,_1rqdv7k73,cycle_and_distribution,misaligned,,,0.0158489319246111,1.1727865200752976,0.0036276931105069,100,0.6314558748152744,0.4,30,48.59997041217758
58,_1rqdv7k73,euclidean,misaligned,,,0.0039810717055349,,,100,0.5370517621227074,0.3,30,49.454675330803575
59,_1rqdv7k73,discrete,misaligned,,,0.0019952623149688,,,100,0.4534343035318798,1.1,30,50.23397603116012
60,_1s49w1ul1,cycle_and_distribution,aligned,,,0.0316227766016837,1.0198217046016618,0.0086972552612291,100,0.6851306374651881,0.2,30,27.357843056533035
61,_1s49w1ul1,euclidean,aligned,,,0.0316227766016837,,,100,0.8332160099288088,0.4,30,36.65030957460928
62,_1s49w1ul1,discrete,aligned,,,0.0019952623149688,,,100,0.6766480916106918,1.3,30,51.30124710514159
63,_1two1tsos,cycle_and_distribution,aligned,,,0.1258925411794167,1.4407311522656443,0.0031198418665511,100,0.7203765788800113,0.3,30,42.07791058221731
64,_1two1tsos,euclidean,aligned,,,0.0630957344480193,,,100,0.7579112729182187,0.6000000000000001,30,45.109833812409136
65,_1two1tsos,discrete,aligned,,,0.001,,,100,0.7680085114752646,1.1,30,49.76091432179346
66,_1vyh37rs1,cycle_and_distribution,misaligned,,,0.0630957344480193,0.9554842742924284,0.005653180732233,100,0.4632598658648245,0.4,30,49.65681578005875
67,_1vyh37rs1,euclidean,misaligned,,,0.0630957344480193,,,100,0.2469742126797086,0.3,30,52.22017219246465
68,_1vyh37rs1,discrete,misaligned,,,0.0039810717055349,,,100,0.8025264869870289,1.4,30,53.27361667181796
69,_1xiem3294,cycle_and_distribution,aligned,,,0.0630957344480193,1.0409345338484404,0.0049616768021956,100,0.5919167487678526,0.2,30,42.49154342617337
